"endemic_status","question","n"
"Endemic","More dogs",18
"Free","More dogs",1
"In-progress","More dogs",4
"Endemic","Poorer health",18
"In-progress","Poorer health",3
"Endemic","Fewer dogs",8
"In-progress","Fewer dogs",4
"Endemic","More aggression",10
"In-progress","More aggression",1
